investment_as_income_percentage,people_liable_for,age,residence_since,savings,credit_amount,skill_level,purpose,installment_plans,sex,foreign_worker,decision,status,month,other_debtors,credit_history,telephone,property,employment,housing,number_of_credits
1,1,1,3,A63,15562,A174,A49,A142,A92,A202,0,A13,9,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,15562,A174,A48,A142,A92,A202,0,A13,4,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,15562,A174,A48,A142,A92,A202,0,A13,4,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,15562,A174,A49,A142,A92,A202,0,A13,4,A103,A32,A192,A123,A72,A153,3
1,1,1,3,A63,15562,A174,A49,A142,A92,A202,0,A13,4,A103,A32,A192,A123,A72,A153,3
1,1,0,3,A62,16062,A173,A46,A143,A92,A202,0,A13,6,A102,A32,A192,A122,A73,A152,3
1,1,1,3,A62,16062,A173,A46,A143,A92,A202,0,A13,6,A102,A32,A192,A122,A73,A152,3
1,1,0,3,A63,16187,A174,A49,A143,A92,A202,0,A13,9,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,16187,A174,A49,A143,A92,A202,0,A13,9,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,16125,A173,A47,A143,A92,A202,0,A13,3,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,16125,A173,A47,A143,A92,A202,0,A13,3,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,16187,A174,A49,A142,A92,A202,0,A13,9,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,16187,A174,A49,A142,A92,A202,0,A13,9,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,16125,A173,A47,A142,A92,A202,0,A13,3,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,16125,A173,A47,A142,A92,A202,0,A13,3,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,16187,A174,A49,A142,A92,A202,0,A13,4,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,16187,A174,A49,A142,A92,A202,0,A13,4,A103,A32,A192,A122,A72,A153,3
1,1,0,2,A62,15313,A173,A45,A143,A92,A202,0,A13,5,A102,A32,A192,A122,A73,A152,2
1,1,1,2,A62,15313,A173,A45,A143,A92,A202,0,A13,5,A102,A32,A192,A122,A73,A152,2
1,1,0,3,A63,15500,A173,A47,A143,A92,A202,0,A13,7,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,15500,A173,A47,A143,A92,A202,0,A13,7,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,15500,A173,A47,A142,A92,A202,0,A13,7,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,15500,A173,A47,A142,A92,A202,0,A13,7,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,15562,A174,A49,A142,A92,A202,0,A13,9,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,15562,A174,A49,A142,A92,A202,0,A13,9,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,15562,A174,A48,A142,A92,A202,0,A13,4,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,15562,A174,A48,A142,A92,A202,0,A13,4,A103,A32,A192,A122,A72,A153,3
3,1,0,3,A63,15562,A174,A49,A143,A92,A202,0,A13,4,A103,A31,A192,A122,A73,A153,3
3,1,1,3,A63,15562,A174,A49,A143,A92,A202,0,A13,4,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,15562,A174,A49,A143,A92,A202,0,A13,4,A103,A31,A192,A123,A73,A153,3
1,1,1,3,A63,15562,A174,A49,A143,A92,A202,0,A13,4,A103,A31,A192,A123,A73,A153,3
1,1,0,3,A63,16187,A174,A48,A143,A92,A202,0,A13,4,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,16187,A174,A48,A143,A92,A202,0,A13,4,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,15562,A174,A48,A143,A92,A202,0,A13,8,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,15562,A174,A48,A143,A92,A202,0,A13,8,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,15562,A174,A48,A143,A92,A202,0,A13,4,A103,A31,A192,A122,A72,A153,3
1,1,1,3,A63,15562,A174,A48,A143,A92,A202,0,A13,4,A103,A31,A192,A122,A72,A153,3
1,1,0,3,A63,15562,A174,A48,A142,A92,A202,0,A13,4,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,15562,A174,A48,A142,A92,A202,0,A13,4,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,15562,A174,A49,A143,A92,A202,0,A12,4,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,15562,A174,A49,A143,A92,A202,0,A12,4,A103,A32,A192,A122,A73,A153,3
1,1,0,1,A61,10001,A171,A45,A143,A92,A202,0,A13,61,A103,A32,A191,A121,A73,A153,1
1,1,1,1,A61,10001,A171,A45,A143,A92,A202,0,A13,61,A103,A32,A191,A121,A73,A153,1
3,1,0,1,A61,11251,A171,A45,A143,A92,A202,0,A13,41,A103,A32,A191,A121,A73,A153,1
3,1,1,1,A61,11251,A171,A45,A143,A92,A202,0,A13,41,A103,A32,A191,A121,A73,A153,1
1,1,0,3,A63,11812,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,11812,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,12437,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,12437,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,11812,A174,A48,A143,A92,A202,0,A13,49,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,11812,A174,A48,A143,A92,A202,0,A13,49,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,11812,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,11812,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,11812,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,11812,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,11812,A174,A49,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,11812,A174,A49,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
3,1,0,3,A63,10562,A174,A49,A143,A92,A202,0,A13,54,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,10562,A174,A49,A143,A92,A202,0,A13,54,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,10562,A174,A49,A143,A92,A202,0,A13,54,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,10562,A174,A49,A143,A92,A202,0,A13,54,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,11187,A174,A49,A143,A92,A202,0,A13,54,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,11187,A174,A49,A143,A92,A202,0,A13,54,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,10500,A173,A47,A143,A92,A202,0,A13,58,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,10500,A173,A47,A143,A92,A202,0,A13,58,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,10562,A174,A49,A143,A92,A202,0,A13,54,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,10562,A174,A49,A143,A92,A202,0,A13,54,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,10562,A174,A49,A142,A92,A202,0,A13,54,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,10562,A174,A49,A142,A92,A202,0,A13,54,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,10562,A174,A49,A143,A92,A202,0,A13,54,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,10562,A174,A49,A143,A92,A202,0,A13,54,A103,A31,A192,A122,A73,A153,3
3,1,0,3,A63,10562,A174,A49,A143,A92,A202,0,A13,49,A103,A32,A192,A123,A73,A153,3
3,1,1,3,A63,10562,A174,A49,A143,A92,A202,0,A13,49,A103,A32,A192,A123,A73,A153,3
3,1,0,3,A63,10562,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A123,A73,A153,3
3,1,1,3,A63,10562,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A123,A73,A153,3
3,1,0,3,A63,10562,A174,A44,A143,A92,A202,0,A13,44,A103,A32,A192,A123,A73,A153,3
3,1,1,3,A63,10562,A174,A44,A143,A92,A202,0,A13,44,A103,A32,A192,A123,A73,A153,3
3,1,0,3,A63,11187,A174,A49,A143,A92,A202,0,A13,49,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,11187,A174,A49,A143,A92,A202,0,A13,49,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,11125,A173,A48,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,11125,A173,A48,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,11187,A174,A44,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,11187,A174,A44,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,11187,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
3,1,1,3,A63,11187,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
3,1,0,3,A63,11187,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,11187,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,10500,A173,A47,A143,A92,A202,0,A13,48,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,10500,A173,A47,A143,A92,A202,0,A13,48,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,10500,A173,A48,A143,A92,A202,0,A13,49,A103,A32,A192,A122,A72,A153,3
3,1,1,3,A63,10500,A173,A48,A143,A92,A202,0,A13,49,A103,A32,A192,A122,A72,A153,3
3,1,0,3,A63,10500,A173,A48,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
3,1,1,3,A63,10500,A173,A48,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
3,1,0,3,A63,10500,A173,A43,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
3,1,1,3,A63,10500,A173,A43,A143,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
3,1,0,3,A63,10500,A173,A48,A142,A92,A202,0,A13,49,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,10500,A173,A48,A142,A92,A202,0,A13,49,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,10500,A173,A48,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,10500,A173,A48,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,10500,A173,A43,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,10500,A173,A43,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,10562,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
3,1,1,3,A63,10562,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,11187,A174,A48,A143,A92,A202,0,A13,49,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,11187,A174,A48,A143,A92,A202,0,A13,49,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,11187,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A123,A72,A153,3
1,1,1,3,A63,11187,A174,A49,A143,A92,A202,0,A13,44,A103,A32,A192,A123,A72,A153,3
1,1,0,3,A63,11187,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,11187,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A62,10437,A173,A46,A143,A92,A202,0,A13,47,A102,A32,A192,A123,A73,A152,3
1,1,1,3,A62,10437,A173,A46,A143,A92,A202,0,A13,47,A102,A32,A192,A123,A73,A152,3
1,1,0,3,A63,10562,A174,A48,A143,A92,A202,0,A13,49,A103,A32,A192,A123,A72,A153,3
1,1,1,3,A63,10562,A174,A48,A143,A92,A202,0,A13,49,A103,A32,A192,A123,A72,A153,3
1,1,0,3,A63,10562,A174,A48,A142,A92,A202,0,A13,49,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,10562,A174,A48,A142,A92,A202,0,A13,49,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,10562,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A123,A72,A153,3
1,1,1,3,A63,10562,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A123,A72,A153,3
1,1,0,2,A62,11000,A173,A45,A143,A92,A202,0,A13,46,A102,A32,A192,A122,A73,A152,2
1,1,1,2,A62,11000,A173,A45,A143,A92,A202,0,A13,46,A102,A32,A192,A122,A73,A152,2
1,1,0,3,A63,11187,A174,A48,A143,A92,A202,0,A13,49,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,11187,A174,A48,A143,A92,A202,0,A13,49,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,11187,A174,A48,A142,A92,A202,0,A13,49,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,11187,A174,A48,A142,A92,A202,0,A13,49,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,11187,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,11187,A174,A49,A142,A92,A202,0,A13,44,A103,A32,A192,A122,A72,A153,3
1,1,0,2,A62,10250,A172,A44,A143,A91,A202,0,A13,44,A102,A32,A191,A121,A73,A152,2
1,1,1,2,A62,10250,A172,A44,A143,A91,A202,0,A13,44,A102,A32,A191,A121,A73,A152,2
1,1,0,3,A62,10437,A173,A46,A143,A92,A202,0,A13,47,A102,A32,A192,A122,A72,A152,3
1,1,1,3,A62,10437,A173,A46,A143,A92,A202,0,A13,47,A102,A32,A192,A122,A72,A152,3
1,1,0,3,A62,10437,A173,A46,A142,A92,A202,0,A13,47,A102,A32,A192,A122,A73,A152,3
1,1,1,3,A62,10437,A173,A46,A142,A92,A202,0,A13,47,A102,A32,A192,A122,A73,A152,3
1,1,0,3,A63,10562,A174,A48,A142,A92,A202,0,A13,49,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,10562,A174,A48,A142,A92,A202,0,A13,49,A103,A32,A192,A122,A72,A153,3
3,1,0,3,A63,10562,A174,A49,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
3,1,1,3,A63,10562,A174,A49,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,10562,A174,A49,A143,A92,A202,0,A13,49,A103,A31,A192,A123,A73,A153,3
1,1,1,3,A63,10562,A174,A49,A143,A92,A202,0,A13,49,A103,A31,A192,A123,A73,A153,3
1,1,0,3,A63,10562,A174,A49,A143,A92,A202,0,A13,44,A103,A31,A192,A123,A73,A153,3
1,1,1,3,A63,10562,A174,A49,A143,A92,A202,0,A13,44,A103,A31,A192,A123,A73,A153,3
1,1,0,3,A63,10562,A174,A44,A143,A92,A202,0,A13,44,A103,A31,A192,A123,A73,A153,3
1,1,1,3,A63,10562,A174,A44,A143,A92,A202,0,A13,44,A103,A31,A192,A123,A73,A153,3
1,1,0,3,A63,11187,A174,A49,A143,A92,A202,0,A13,49,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,11187,A174,A49,A143,A92,A202,0,A13,49,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,11125,A173,A48,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,11125,A173,A48,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,11187,A174,A44,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,11187,A174,A44,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,11187,A174,A49,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A72,A153,3
1,1,1,3,A63,11187,A174,A49,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A72,A153,3
1,1,0,3,A63,11187,A174,A49,A142,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,11187,A174,A49,A142,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,10500,A173,A47,A143,A92,A202,0,A13,48,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,10500,A173,A47,A143,A92,A202,0,A13,48,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,10562,A174,A49,A143,A92,A202,0,A13,49,A103,A31,A192,A122,A72,A153,3
1,1,1,3,A63,10562,A174,A49,A143,A92,A202,0,A13,49,A103,A31,A192,A122,A72,A153,3
1,1,0,3,A63,10562,A174,A49,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A72,A153,3
1,1,1,3,A63,10562,A174,A49,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A72,A153,3
1,1,0,3,A63,10562,A174,A44,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A72,A153,3
1,1,1,3,A63,10562,A174,A44,A143,A92,A202,0,A13,44,A103,A31,A192,A122,A72,A153,3
1,1,0,3,A63,10562,A174,A49,A142,A92,A202,0,A13,49,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,10562,A174,A49,A142,A92,A202,0,A13,49,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,10562,A174,A49,A142,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,10562,A174,A49,A142,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,10562,A174,A44,A142,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,1,3,A63,10562,A174,A44,A142,A92,A202,0,A13,44,A103,A31,A192,A122,A73,A153,3
1,1,0,3,A63,10562,A174,A49,A142,A92,A202,0,A13,44,A103,A31,A192,A122,A72,A153,3
1,1,1,3,A63,10562,A174,A49,A142,A92,A202,0,A13,44,A103,A31,A192,A122,A72,A153,3
1,1,0,3,A63,10500,A173,A48,A143,A92,A202,0,A12,44,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,10500,A173,A48,A143,A92,A202,0,A12,44,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,14312,A174,A49,A143,A92,A202,0,A13,24,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,14312,A174,A49,A143,A92,A202,0,A13,24,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,14937,A174,A49,A143,A92,A202,0,A13,24,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,14937,A174,A49,A143,A92,A202,0,A13,24,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,14312,A174,A48,A143,A92,A202,0,A13,29,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,14312,A174,A48,A143,A92,A202,0,A13,29,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,14312,A174,A49,A143,A92,A202,0,A13,24,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,14312,A174,A49,A143,A92,A202,0,A13,24,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,14312,A174,A49,A142,A92,A202,0,A13,24,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,14312,A174,A49,A142,A92,A202,0,A13,24,A103,A32,A192,A122,A73,A153,3
3,1,0,1,A61,12501,A171,A45,A143,A92,A202,0,A13,31,A103,A32,A191,A121,A73,A153,1
3,1,1,1,A61,12501,A171,A45,A143,A92,A202,0,A13,31,A103,A32,A191,A121,A73,A153,1
1,1,0,3,A63,13062,A174,A49,A143,A92,A202,0,A13,34,A103,A32,A192,A123,A73,A153,3
1,1,1,3,A63,13062,A174,A49,A143,A92,A202,0,A13,34,A103,A32,A192,A123,A73,A153,3
1,1,0,3,A63,13687,A174,A49,A143,A92,A202,0,A13,34,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,13687,A174,A49,A143,A92,A202,0,A13,34,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,13062,A174,A48,A143,A92,A202,0,A13,39,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,13062,A174,A48,A143,A92,A202,0,A13,39,A103,A32,A192,A122,A73,A153,3
1,1,0,3,A63,13062,A174,A49,A143,A92,A202,0,A13,34,A103,A32,A192,A122,A72,A153,3
1,1,1,3,A63,13062,A174,A49,A143,A92,A202,0,A13,34,A103,A32,A192,A122,A72,A153,3
1,1,0,3,A63,13062,A174,A49,A142,A92,A202,0,A13,34,A103,A32,A192,A122,A73,A153,3
1,1,1,3,A63,13062,A174,A49,A142,A92,A202,0,A13,34,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,13062,A174,A49,A143,A92,A202,0,A13,24,A103,A32,A192,A123,A73,A153,3
3,1,1,3,A63,13062,A174,A49,A143,A92,A202,0,A13,24,A103,A32,A192,A123,A73,A153,3
3,1,0,3,A63,13687,A174,A49,A143,A92,A202,0,A13,24,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,13687,A174,A49,A143,A92,A202,0,A13,24,A103,A32,A192,A122,A73,A153,3
3,1,0,3,A63,13000,A173,A47,A143,A92,A202,0,A13,28,A103,A32,A192,A122,A73,A153,3
3,1,1,3,A63,13000,A173,A47,A143,A92,A202,0,A13,28,A103,A32,A192,A122,A73,A153,3
