status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,prediction
A11,80,A34,A49,4901,A65,A72,3,A103,2,A121,1,A143,A151,1,A172,2,A191,A201,A92,0.502169208029974,1
A11,0,A33,A40,19400,A61,A72,1,A101,3,A121,1,A141,A151,1,A171,1,A191,A201,A92,0.5074690537395907,1
A11,0,A33,A40,19400,A61,A72,1,A101,3,A121,0,A141,A151,1,A171,1,A191,A201,A92,0.45934176421665307,0
A14,2,A33,A40,17799,A63,A72,2,A101,1,A121,0,A141,A151,3,A171,1,A191,A201,A92,0.49988563358983173,0
A14,2,A33,A40,17799,A63,A72,2,A101,1,A121,1,A141,A151,3,A171,1,A191,A201,A92,0.5478272772006826,1
A14,56,A33,A49,10699,A63,A71,4,A101,1,A123,1,A141,A153,4,A174,2,A191,A202,A92,0.5256552572086691,1
A14,56,A33,A49,10699,A63,A71,4,A101,1,A123,0,A141,A153,4,A174,2,A191,A202,A92,0.47761306371367074,0
A13,15,A33,A410,15200,A65,A72,4,A101,4,A122,1,A143,A153,2,A171,2,A191,A202,A92,0.5437901634874417,1
A13,15,A33,A410,15200,A65,A72,4,A101,4,A122,0,A143,A153,2,A171,2,A191,A202,A92,0.4958230036679447,0
A11,78,A30,A48,13700,A65,A71,4,A103,4,A122,1,A143,A151,1,A171,1,A192,A202,A91,0.5439667648921752,1
A11,78,A30,A48,13700,A65,A71,4,A103,4,A122,0,A143,A151,1,A171,1,A192,A202,A91,0.49600089673686226,0
A13,19,A30,A42,16411,A63,A72,1,A101,1,A122,1,A141,A153,4,A171,2,A192,A201,A91,0.5023779987803134,1
A13,19,A30,A42,16411,A63,A72,1,A101,1,A122,0,A141,A153,4,A171,2,A192,A201,A91,0.45442515147864454,0
A13,0,A33,A40,2560,A63,A72,4,A102,1,A123,1,A141,A151,1,A171,1,A191,A201,A92,0.5420110706861602,1
A13,0,A33,A40,2560,A63,A72,4,A102,1,A123,0,A141,A151,1,A171,1,A191,A201,A92,0.49380650013958405,0
A13,13,A33,A41,1757,A63,A74,4,A101,4,A123,1,A141,A151,3,A174,2,A191,A201,A91,0.5351309975951867,1
A13,13,A33,A41,1757,A63,A74,4,A101,4,A123,0,A141,A151,3,A174,2,A191,A201,A91,0.4945432475149468,0
A13,1,A33,A40,15399,A61,A72,1,A102,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,0.5010261223215512,1
A13,1,A33,A40,15399,A61,A72,1,A102,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,0.45294799855914364,0
A13,0,A33,A41,9736,A63,A72,1,A101,4,A123,1,A141,A151,1,A171,1,A191,A201,A92,0.50000812113285,1
A13,0,A33,A41,9736,A63,A72,1,A101,4,A123,0,A141,A151,1,A171,1,A191,A201,A92,0.4520409575307375,0
A13,1,A33,A40,13300,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,0.5316478144829243,1
A13,1,A33,A40,13300,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,0.48347840894872723,0
A14,80,A33,A41,4297,A63,A72,2,A101,4,A123,0,A143,A151,3,A171,1,A191,A202,A91,0.47806253668134313,0
A14,80,A33,A41,4297,A63,A72,2,A101,4,A123,1,A143,A151,3,A171,1,A191,A202,A91,0.5163923593227094,1
