CE_ID,PA,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
11,1,A13,14,A32,A49,15562,A63,A72,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.001300,POSITIVE
12,0,A13,14,A32,A49,15562,A63,A73,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.190049,NEGATIVE
12,1,A13,14,A32,A49,15562,A63,A73,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.017226,POSITIVE
13,0,A13,4,A32,A49,15562,A63,A73,3,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.203640,NEGATIVE
13,1,A13,4,A32,A49,15562,A63,A73,3,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.003636,POSITIVE
14,0,A13,4,A32,A48,16187,A63,A73,3,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.198383,NEGATIVE
14,1,A13,4,A32,A48,16187,A63,A73,3,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.008892,POSITIVE
15,0,A13,8,A32,A48,15562,A63,A73,3,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.180162,NEGATIVE
15,1,A13,8,A32,A48,15562,A63,A73,3,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.027114,POSITIVE
16,0,A13,4,A32,A48,15562,A63,A72,3,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.203013,NEGATIVE
16,1,A13,4,A32,A48,15562,A63,A72,3,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.004262,POSITIVE
17,0,A13,4,A32,A48,15562,A63,A73,3,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.204678,NEGATIVE
17,1,A13,4,A32,A48,15562,A63,A73,3,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.002598,POSITIVE
18,0,A13,9,A32,A48,16125,A63,A73,1,A103,3,A123,0,A143,A153,3,A173,1,A192,A202,A92,-0.201594,NEGATIVE
18,1,A13,9,A32,A48,16125,A63,A73,1,A103,3,A123,1,A143,A153,3,A173,1,A192,A202,A92,0.005682,POSITIVE
19,0,A13,4,A32,A48,16187,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.141917,NEGATIVE
19,1,A13,4,A32,A48,16187,A63,A73,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.065358,POSITIVE
20,0,A13,4,A32,A49,16187,A63,A72,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.200158,NEGATIVE
20,1,A13,4,A32,A49,16187,A63,A72,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.007117,POSITIVE
21,0,A13,4,A32,A49,16187,A63,A73,1,A103,3,A123,0,A142,A153,3,A174,1,A192,A202,A92,-0.201822,NEGATIVE
21,1,A13,4,A32,A49,16187,A63,A73,1,A103,3,A123,1,A142,A153,3,A174,1,A192,A202,A92,0.005453,POSITIVE
22,0,A13,7,A32,A47,15500,A63,A73,1,A103,3,A123,0,A143,A153,3,A173,1,A192,A202,A92,-0.185030,NEGATIVE
22,1,A13,7,A32,A47,15500,A63,A73,1,A103,3,A123,1,A143,A153,3,A173,1,A192,A202,A92,0.022244,POSITIVE
23,0,A13,9,A32,A49,15562,A63,A72,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.195106,NEGATIVE
23,1,A13,9,A32,A49,15562,A63,A72,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.012169,POSITIVE
24,0,A13,4,A32,A48,15562,A63,A72,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.146547,NEGATIVE
24,1,A13,4,A32,A48,15562,A63,A72,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.060728,POSITIVE
25,0,A13,9,A32,A49,15562,A63,A73,1,A103,3,A123,0,A142,A153,3,A174,1,A192,A202,A92,-0.196771,NEGATIVE
25,1,A13,9,A32,A49,15562,A63,A73,1,A103,3,A123,1,A142,A153,3,A174,1,A192,A202,A92,0.010504,POSITIVE
26,0,A13,4,A32,A48,15562,A63,A73,1,A103,3,A123,0,A142,A153,3,A174,1,A192,A202,A92,-0.148212,NEGATIVE
26,1,A13,4,A32,A48,15562,A63,A73,1,A103,3,A123,1,A142,A153,3,A174,1,A192,A202,A92,0.059064,POSITIVE
27,0,A13,4,A32,A49,15562,A63,A72,1,A103,3,A123,0,A142,A153,3,A174,1,A192,A202,A92,-0.206453,NEGATIVE
27,1,A13,4,A32,A49,15562,A63,A72,1,A103,3,A123,1,A142,A153,3,A174,1,A192,A202,A92,0.000823,POSITIVE
28,0,A13,6,A32,A46,16062,A62,A73,1,A102,3,A122,0,A143,A152,3,A173,1,A192,A202,A92,-0.205821,NEGATIVE
28,1,A13,6,A32,A46,16062,A62,A73,1,A102,3,A122,1,A143,A152,3,A173,1,A192,A202,A92,0.001455,POSITIVE
29,0,A13,9,A32,A49,16187,A63,A72,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.195632,NEGATIVE
29,1,A13,9,A32,A49,16187,A63,A72,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.011644,POSITIVE
30,0,A13,3,A32,A47,16125,A63,A72,1,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.201488,NEGATIVE
30,1,A13,3,A32,A47,16125,A63,A72,1,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.005787,POSITIVE
31,0,A13,9,A32,A49,16187,A63,A73,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.197296,NEGATIVE
31,1,A13,9,A32,A49,16187,A63,A73,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.009979,POSITIVE
32,0,A13,3,A32,A47,16125,A63,A73,1,A103,3,A122,0,A142,A153,3,A173,1,A192,A202,A92,-0.203304,NEGATIVE
32,1,A13,3,A32,A47,16125,A63,A73,1,A103,3,A122,1,A142,A153,3,A173,1,A192,A202,A92,0.003972,POSITIVE
33,0,A13,4,A32,A49,16187,A63,A72,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.206977,NEGATIVE
33,1,A13,4,A32,A49,16187,A63,A72,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.000298,POSITIVE
34,0,A13,5,A32,A45,15313,A62,A73,1,A102,2,A122,0,A143,A152,2,A173,1,A192,A202,A92,-0.187254,NEGATIVE
34,1,A13,5,A32,A45,15313,A62,A73,1,A102,2,A122,1,A143,A152,2,A173,1,A192,A202,A92,0.020021,POSITIVE
35,0,A13,7,A32,A47,15500,A63,A72,1,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.172291,NEGATIVE
35,1,A13,7,A32,A47,15500,A63,A72,1,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.034984,POSITIVE
36,0,A13,7,A32,A47,15500,A63,A73,1,A103,3,A122,0,A142,A153,3,A173,1,A192,A202,A92,-0.174107,NEGATIVE
36,1,A13,7,A32,A47,15500,A63,A73,1,A103,3,A122,1,A142,A153,3,A173,1,A192,A202,A92,0.033168,POSITIVE
37,0,A13,9,A32,A49,15562,A63,A72,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.201925,NEGATIVE
37,1,A13,9,A32,A49,15562,A63,A72,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.005350,POSITIVE
38,0,A13,4,A32,A48,15562,A63,A72,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.136534,NEGATIVE
38,1,A13,4,A32,A48,15562,A63,A72,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.070741,POSITIVE
39,0,A13,4,A31,A49,15562,A63,A73,3,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.204982,NEGATIVE
39,1,A13,4,A31,A49,15562,A63,A73,3,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.002293,POSITIVE
40,0,A13,4,A31,A49,15562,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.201035,NEGATIVE
40,1,A13,4,A31,A49,15562,A63,A73,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.006240,POSITIVE
41,0,A13,4,A31,A48,16187,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.195779,NEGATIVE
41,1,A13,4,A31,A48,16187,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.011496,POSITIVE
42,0,A13,8,A31,A48,15562,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.177557,NEGATIVE
42,1,A13,8,A31,A48,15562,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.029718,POSITIVE
43,0,A13,4,A31,A48,15562,A63,A72,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.200408,NEGATIVE
43,1,A13,4,A31,A48,15562,A63,A72,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.006866,POSITIVE
44,0,A13,4,A31,A48,15562,A63,A73,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.202074,NEGATIVE
44,1,A13,4,A31,A48,15562,A63,A73,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.005202,POSITIVE
45,0,A12,4,A32,A49,15562,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.193064,NEGATIVE
45,1,A12,4,A32,A49,15562,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.014211,POSITIVE
46,0,A13,61,A32,A45,10001,A61,A73,1,A103,1,A121,0,A143,A153,1,A171,1,A191,A202,A92,-0.202446,NEGATIVE
46,1,A13,61,A32,A45,10001,A61,A73,1,A103,1,A121,1,A143,A153,1,A171,1,A191,A202,A92,0.004829,POSITIVE
47,0,A13,41,A32,A45,11251,A61,A73,3,A103,1,A121,0,A143,A153,1,A171,1,A191,A202,A92,-0.187206,NEGATIVE
47,1,A13,41,A32,A45,11251,A61,A73,3,A103,1,A121,1,A143,A153,1,A171,1,A191,A202,A92,0.020069,POSITIVE
48,0,A13,44,A32,A49,11812,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.192089,NEGATIVE
48,1,A13,44,A32,A49,11812,A63,A73,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.015187,POSITIVE
49,0,A13,44,A32,A49,12437,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.175782,NEGATIVE
49,1,A13,44,A32,A49,12437,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.031494,POSITIVE
50,0,A13,49,A32,A48,11812,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.168611,NEGATIVE
50,1,A13,49,A32,A48,11812,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.038664,POSITIVE
51,0,A13,44,A32,A49,11812,A63,A72,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.180411,NEGATIVE
51,1,A13,44,A32,A49,11812,A63,A72,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.026864,POSITIVE
52,0,A13,44,A32,A49,11812,A63,A73,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.182076,NEGATIVE
52,1,A13,44,A32,A49,11812,A63,A73,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.025200,POSITIVE
53,0,A13,44,A31,A49,11812,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.193432,NEGATIVE
53,1,A13,44,A31,A49,11812,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.013844,POSITIVE
54,0,A13,54,A32,A49,10562,A63,A73,3,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.198559,NEGATIVE
54,1,A13,54,A32,A49,10562,A63,A73,3,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.008716,POSITIVE
55,0,A13,54,A32,A49,10562,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.177597,NEGATIVE
55,1,A13,54,A32,A49,10562,A63,A73,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.029678,POSITIVE
56,0,A13,54,A32,A49,11187,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.161289,NEGATIVE
56,1,A13,54,A32,A49,11187,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.045986,POSITIVE
57,0,A13,58,A32,A47,10500,A63,A73,1,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.205531,NEGATIVE
57,1,A13,58,A32,A47,10500,A63,A73,1,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.001745,POSITIVE
58,0,A13,54,A32,A49,10562,A63,A72,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.165920,NEGATIVE
58,1,A13,54,A32,A49,10562,A63,A72,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.041356,POSITIVE
59,0,A13,54,A32,A49,10562,A63,A73,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.167584,NEGATIVE
59,1,A13,54,A32,A49,10562,A63,A73,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.039691,POSITIVE
60,0,A13,54,A31,A49,10562,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.195955,NEGATIVE
60,1,A13,54,A31,A49,10562,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.011321,POSITIVE
61,0,A13,49,A32,A49,10562,A63,A73,3,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.205281,NEGATIVE
61,1,A13,49,A32,A49,10562,A63,A73,3,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.001994,POSITIVE
62,0,A13,44,A32,A49,10562,A63,A73,3,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.147865,NEGATIVE
62,1,A13,44,A32,A49,10562,A63,A73,3,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.059410,POSITIVE
63,0,A13,44,A32,A44,10562,A63,A73,3,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.206041,NEGATIVE
63,1,A13,44,A32,A44,10562,A63,A73,3,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.001234,POSITIVE
64,0,A13,49,A32,A49,11187,A63,A73,3,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.205805,NEGATIVE
64,1,A13,49,A32,A49,11187,A63,A73,3,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.001470,POSITIVE
65,0,A13,44,A32,A48,11125,A63,A73,3,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.182892,NEGATIVE
65,1,A13,44,A32,A48,11125,A63,A73,3,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.024383,POSITIVE
66,0,A13,44,A32,A44,11187,A63,A73,3,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.206566,NEGATIVE
66,1,A13,44,A32,A44,11187,A63,A73,3,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.000710,POSITIVE
67,0,A13,44,A32,A49,11187,A63,A72,3,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.200849,NEGATIVE
67,1,A13,44,A32,A49,11187,A63,A72,3,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.006426,POSITIVE
68,0,A13,44,A32,A49,11187,A63,A73,3,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.202514,NEGATIVE
68,1,A13,44,A32,A49,11187,A63,A73,3,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.004762,POSITIVE
69,0,A13,48,A32,A47,10500,A63,A73,3,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.175799,NEGATIVE
69,1,A13,48,A32,A47,10500,A63,A73,3,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.031477,POSITIVE
70,0,A13,49,A32,A48,10500,A63,A72,3,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.203659,NEGATIVE
70,1,A13,49,A32,A48,10500,A63,A72,3,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.003617,POSITIVE
71,0,A13,44,A32,A48,10500,A63,A72,3,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.198579,NEGATIVE
71,1,A13,44,A32,A48,10500,A63,A72,3,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.008696,POSITIVE
72,0,A13,44,A32,A43,10500,A63,A72,3,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.204419,NEGATIVE
72,1,A13,44,A32,A43,10500,A63,A72,3,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.002856,POSITIVE
73,0,A13,49,A32,A48,10500,A63,A73,3,A103,3,A122,0,A142,A153,3,A173,1,A192,A202,A92,-0.205474,NEGATIVE
73,1,A13,49,A32,A48,10500,A63,A73,3,A103,3,A122,1,A142,A153,3,A173,1,A192,A202,A92,0.001801,POSITIVE
74,0,A13,44,A32,A48,10500,A63,A73,3,A103,3,A122,0,A142,A153,3,A173,1,A192,A202,A92,-0.200395,NEGATIVE
74,1,A13,44,A32,A48,10500,A63,A73,3,A103,3,A122,1,A142,A153,3,A173,1,A192,A202,A92,0.006880,POSITIVE
75,0,A13,44,A32,A43,10500,A63,A73,3,A103,3,A122,0,A142,A153,3,A173,1,A192,A202,A92,-0.206235,NEGATIVE
75,1,A13,44,A32,A43,10500,A63,A73,3,A103,3,A122,1,A142,A153,3,A173,1,A192,A202,A92,0.001040,POSITIVE
76,0,A13,44,A32,A49,10562,A63,A72,3,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.207144,NEGATIVE
76,1,A13,44,A32,A49,10562,A63,A72,3,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.000131,POSITIVE
77,0,A13,49,A32,A48,11187,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.184919,NEGATIVE
77,1,A13,49,A32,A48,11187,A63,A73,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.022356,POSITIVE
78,0,A13,44,A32,A49,11187,A63,A72,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.196719,NEGATIVE
78,1,A13,44,A32,A49,11187,A63,A72,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.010556,POSITIVE
79,0,A13,44,A32,A49,11187,A63,A73,1,A103,3,A123,0,A142,A153,3,A174,1,A192,A202,A92,-0.198383,NEGATIVE
79,1,A13,44,A32,A49,11187,A63,A73,1,A103,3,A123,1,A142,A153,3,A174,1,A192,A202,A92,0.008892,POSITIVE
80,0,A13,47,A32,A46,10437,A62,A73,1,A102,3,A123,0,A143,A152,3,A173,1,A192,A202,A92,-0.194980,NEGATIVE
80,1,A13,47,A32,A46,10437,A62,A73,1,A102,3,A123,1,A143,A152,3,A173,1,A192,A202,A92,0.012295,POSITIVE
81,0,A13,49,A32,A48,10562,A63,A72,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.189549,NEGATIVE
81,1,A13,49,A32,A48,10562,A63,A72,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.017726,POSITIVE
82,0,A13,49,A32,A48,10562,A63,A73,1,A103,3,A123,0,A142,A153,3,A174,1,A192,A202,A92,-0.191214,NEGATIVE
82,1,A13,49,A32,A48,10562,A63,A73,1,A103,3,A123,1,A142,A153,3,A174,1,A192,A202,A92,0.016061,POSITIVE
83,0,A13,44,A32,A49,10562,A63,A72,1,A103,3,A123,0,A142,A153,3,A174,1,A192,A202,A92,-0.203014,NEGATIVE
83,1,A13,44,A32,A49,10562,A63,A72,1,A103,3,A123,1,A142,A153,3,A174,1,A192,A202,A92,0.004261,POSITIVE
84,0,A13,46,A32,A45,11000,A62,A73,1,A102,2,A122,0,A143,A152,2,A173,1,A192,A202,A92,-0.205847,NEGATIVE
84,1,A13,46,A32,A45,11000,A62,A73,1,A102,2,A122,1,A143,A152,2,A173,1,A192,A202,A92,0.001429,POSITIVE
85,0,A13,49,A32,A48,11187,A63,A72,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.173241,NEGATIVE
85,1,A13,49,A32,A48,11187,A63,A72,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.034034,POSITIVE
86,0,A13,49,A32,A48,11187,A63,A73,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.174906,NEGATIVE
86,1,A13,49,A32,A48,11187,A63,A73,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.032369,POSITIVE
87,0,A13,44,A32,A49,11187,A63,A72,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.186706,NEGATIVE
87,1,A13,44,A32,A49,11187,A63,A72,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.020569,POSITIVE
88,0,A13,44,A32,A44,10250,A62,A73,1,A102,2,A121,0,A143,A152,2,A172,1,A191,A202,A91,-0.191670,NEGATIVE
88,1,A13,44,A32,A44,10250,A62,A73,1,A102,2,A121,1,A143,A152,2,A172,1,A191,A202,A91,0.015605,POSITIVE
89,0,A13,47,A32,A46,10437,A62,A72,1,A102,3,A122,0,A143,A152,3,A173,1,A192,A202,A92,-0.181179,NEGATIVE
89,1,A13,47,A32,A46,10437,A62,A72,1,A102,3,A122,1,A143,A152,3,A173,1,A192,A202,A92,0.026096,POSITIVE
90,0,A13,47,A32,A46,10437,A62,A73,1,A102,3,A122,0,A142,A152,3,A173,1,A192,A202,A92,-0.183146,NEGATIVE
90,1,A13,47,A32,A46,10437,A62,A73,1,A102,3,A122,1,A142,A152,3,A173,1,A192,A202,A92,0.024129,POSITIVE
91,0,A13,49,A32,A48,10562,A63,A72,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.179536,NEGATIVE
91,1,A13,49,A32,A48,10562,A63,A72,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.027739,POSITIVE
92,0,A13,44,A31,A49,10562,A63,A73,3,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.201727,NEGATIVE
92,1,A13,44,A31,A49,10562,A63,A73,3,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.005548,POSITIVE
93,0,A13,49,A31,A49,10562,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.202493,NEGATIVE
93,1,A13,49,A31,A49,10562,A63,A73,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.004782,POSITIVE
94,0,A13,44,A31,A49,10562,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.145261,NEGATIVE
94,1,A13,44,A31,A49,10562,A63,A73,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.062014,POSITIVE
95,0,A13,44,A31,A44,10562,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.203254,NEGATIVE
95,1,A13,44,A31,A44,10562,A63,A73,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.004021,POSITIVE
96,0,A13,49,A31,A49,11187,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.203201,NEGATIVE
96,1,A13,49,A31,A49,11187,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.004075,POSITIVE
97,0,A13,44,A31,A48,11125,A63,A73,1,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.197303,NEGATIVE
97,1,A13,44,A31,A48,11125,A63,A73,1,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.009972,POSITIVE
