age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,prediction
62,Without-pay,7th-8th,8,Separated,Protective-serv,Wife,Asian-Pac-Islander,Male,Amer-Indian-Eskimo,capital-loss_17,94,Cambodia,1
62,Without-pay,7th-8th,8,Separated,Protective-serv,Wife,Asian-Pac-Islander,Female,Amer-Indian-Eskimo,capital-loss_17,94,Cambodia,0
74,Without-pay,Masters,1,Divorced,Sales,Husband,Black,Male,Amer-Indian-Eskimo,capital-loss_10,22,France,1
74,Without-pay,Masters,1,Divorced,Sales,Husband,Black,Female,Amer-Indian-Eskimo,capital-loss_10,22,France,0
93,Self-emp-not-inc,1st-4th,10,Separated,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_9,23,Mexico,0
93,Self-emp-not-inc,1st-4th,10,Separated,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_9,23,Mexico,1
73,State-gov,Prof-school,16,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Male,Amer-Indian-Eskimo,Amer-Indian-Eskimo,68,Scotland,1
73,State-gov,Prof-school,16,Divorced,Protective-serv,Wife,Asian-Pac-Islander,Female,Amer-Indian-Eskimo,Amer-Indian-Eskimo,68,Scotland,0
46,Self-emp-not-inc,Bachelors,13,Widowed,Farming-fishing,Wife,White,Male,Asian-Pac-Islander,capital-loss_13,61,Dominican-Republic,1
46,Self-emp-not-inc,Bachelors,13,Widowed,Farming-fishing,Wife,White,Female,Asian-Pac-Islander,capital-loss_13,61,Dominican-Republic,0
100,Self-emp-not-inc,Prof-school,2,Never-married,Craft-repair,Wife,White,Male,Amer-Indian-Eskimo,capital-loss_15,6,China,1
100,Self-emp-not-inc,Prof-school,2,Never-married,Craft-repair,Wife,White,Female,Amer-Indian-Eskimo,capital-loss_15,6,China,0
41,State-gov,Assoc-acdm,2,Separated,Prof-specialty,Wife,White,Female,Other,Amer-Indian-Eskimo,35,Canada,0
41,State-gov,Assoc-acdm,2,Separated,Prof-specialty,Wife,White,Male,Other,Amer-Indian-Eskimo,35,Canada,1
62,Self-emp-not-inc,12th,13,Separated,Tech-support,Wife,White,Male,Asian-Pac-Islander,White,32,Scotland,1
62,Self-emp-not-inc,12th,13,Separated,Tech-support,Wife,White,Female,Asian-Pac-Islander,White,32,Scotland,0
87,Without-pay,Some-college,6,Widowed,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,Asian-Pac-Islander,capital-loss_15,32,Outlying-US(Guam-USVI-etc),0
87,Without-pay,Some-college,6,Widowed,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,Asian-Pac-Islander,capital-loss_15,32,Outlying-US(Guam-USVI-etc),1
100,State-gov,Some-college,10,Married-AF-spouse,Handlers-cleaners,Wife,White,Male,Amer-Indian-Eskimo,capital-loss_14,45,Taiwan,1
100,State-gov,Some-college,10,Married-AF-spouse,Handlers-cleaners,Wife,White,Female,Amer-Indian-Eskimo,capital-loss_14,45,Taiwan,0
90,Without-pay,11th,3,Widowed,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,Black,capital-loss_5,24,Trinadad&Tobago,1
90,Without-pay,11th,3,Widowed,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,Black,capital-loss_5,24,Trinadad&Tobago,0
33,State-gov,Some-college,7,Separated,Farming-fishing,Wife,Amer-Indian-Eskimo,Female,Black,capital-loss_5,30,Cuba,0
33,State-gov,Some-college,7,Separated,Farming-fishing,Wife,Amer-Indian-Eskimo,Male,Black,capital-loss_5,30,Cuba,1
84,Federal-gov,Bachelors,8,Divorced,Protective-serv,Unmarried,White,Male,Amer-Indian-Eskimo,capital-loss_14,20,Poland,1
84,Federal-gov,Bachelors,8,Divorced,Protective-serv,Unmarried,White,Female,Amer-Indian-Eskimo,capital-loss_14,20,Poland,0
51,State-gov,Some-college,16,Never-married,Craft-repair,Wife,Black,Male,Amer-Indian-Eskimo,capital-loss_5,88,Nicaragua,1
51,State-gov,Some-college,16,Never-married,Craft-repair,Wife,Black,Female,Amer-Indian-Eskimo,capital-loss_5,88,Nicaragua,0
10,Without-pay,7th-8th,11,Divorced,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,Asian-Pac-Islander,capital-loss_19,26,Columbia,0
10,Without-pay,7th-8th,11,Divorced,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,Asian-Pac-Islander,capital-loss_19,26,Columbia,1
98,Local-gov,Some-college,11,Widowed,Exec-managerial,Wife,White,Male,Amer-Indian-Eskimo,capital-loss_13,85,Yugoslavia,1
98,Local-gov,Some-college,11,Widowed,Exec-managerial,Wife,White,Female,Amer-Indian-Eskimo,capital-loss_13,85,Yugoslavia,0
65,Without-pay,Doctorate,7,Widowed,Handlers-cleaners,Wife,White,Female,Black,capital-loss_10,20,Yugoslavia,0
65,Without-pay,Doctorate,7,Widowed,Handlers-cleaners,Wife,White,Male,Black,capital-loss_10,20,Yugoslavia,1
35,Self-emp-not-inc,Some-college,16,Married-spouse-absent,Protective-serv,Wife,Asian-Pac-Islander,Female,Amer-Indian-Eskimo,Black,38,Haiti,0
35,Self-emp-not-inc,Some-college,16,Married-spouse-absent,Protective-serv,Wife,Asian-Pac-Islander,Male,Amer-Indian-Eskimo,Black,38,Haiti,1
29,Self-emp-inc,7th-8th,5,Married-spouse-absent,Protective-serv,Own-child,Other,Male,Amer-Indian-Eskimo,capital-loss_17,6,Hong,1
29,Self-emp-inc,7th-8th,5,Married-spouse-absent,Protective-serv,Own-child,Other,Female,Amer-Indian-Eskimo,capital-loss_17,6,Hong,0
52,State-gov,Some-college,6,Widowed,Farming-fishing,Wife,Other,Male,Other,Amer-Indian-Eskimo,36,Columbia,1
52,State-gov,Some-college,6,Widowed,Farming-fishing,Wife,Other,Female,Other,Amer-Indian-Eskimo,36,Columbia,0
45,Self-emp-inc,Assoc-acdm,6,Separated,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Male,Black,Asian-Pac-Islander,21,Canada,1
45,Self-emp-inc,Assoc-acdm,6,Separated,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,Black,Asian-Pac-Islander,21,Canada,0
70,State-gov,7th-8th,6,Separated,Prof-specialty,Wife,Other,Male,Amer-Indian-Eskimo,capital-loss_19,77,Canada,1
70,State-gov,7th-8th,6,Separated,Prof-specialty,Wife,Other,Female,Amer-Indian-Eskimo,capital-loss_19,77,Canada,0
51,Self-emp-not-inc,Some-college,16,Separated,Protective-serv,Wife,Black,Female,Asian-Pac-Islander,Asian-Pac-Islander,56,Dominican-Republic,0
51,Self-emp-not-inc,Some-college,16,Separated,Protective-serv,Wife,Black,Male,Asian-Pac-Islander,Asian-Pac-Islander,56,Dominican-Republic,1
90,Without-pay,10th,1,Never-married,Protective-serv,Wife,White,Male,Amer-Indian-Eskimo,capital-loss_15,84,Holand-Netherlands,1
90,Without-pay,10th,1,Never-married,Protective-serv,Wife,White,Female,Amer-Indian-Eskimo,capital-loss_15,84,Holand-Netherlands,0
52,Self-emp-not-inc,Some-college,7,Never-married,Machine-op-inspct,Wife,White,Male,Asian-Pac-Islander,capital-loss_5,84,India,1
52,Self-emp-not-inc,Some-college,7,Never-married,Machine-op-inspct,Wife,White,Female,Asian-Pac-Islander,capital-loss_5,84,India,0
11,State-gov,Some-college,16,Widowed,Adm-clerical,Husband,White,Female,Asian-Pac-Islander,capital-loss_19,76,Ecuador,0
11,State-gov,Some-college,16,Widowed,Adm-clerical,Husband,White,Male,Asian-Pac-Islander,capital-loss_19,76,Ecuador,1
80,Self-emp-inc,5th-6th,11,Separated,Adm-clerical,Wife,White,Male,Amer-Indian-Eskimo,capital-loss_10,73,Holand-Netherlands,1
80,Self-emp-inc,5th-6th,11,Separated,Adm-clerical,Wife,White,Female,Amer-Indian-Eskimo,capital-loss_10,73,Holand-Netherlands,0
59,Without-pay,Assoc-voc,1,Widowed,Transport-moving,Wife,Black,Male,Black,capital-loss_12,95,Canada,1
59,Without-pay,Assoc-voc,1,Widowed,Transport-moving,Wife,Black,Female,Black,capital-loss_12,95,Canada,0
89,State-gov,Some-college,2,Widowed,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,Black,White,92,South,0
89,State-gov,Some-college,2,Widowed,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,Black,White,92,South,1
40,State-gov,10th,15,Widowed,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_19,68,Cambodia,1
40,State-gov,10th,15,Widowed,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_19,68,Cambodia,0
60,Without-pay,Doctorate,1,Divorced,Transport-moving,Own-child,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_10,71,Honduras,0
60,Without-pay,Doctorate,1,Divorced,Transport-moving,Own-child,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_10,71,Honduras,1
24,Self-emp-not-inc,Bachelors,16,Married-civ-spouse,Armed-Forces,Other-relative,White,Male,Amer-Indian-Eskimo,Amer-Indian-Eskimo,18,Laos,1
24,Self-emp-not-inc,Bachelors,16,Married-civ-spouse,Armed-Forces,Other-relative,White,Female,Amer-Indian-Eskimo,Amer-Indian-Eskimo,18,Laos,0
29,Without-pay,1st-4th,12,Separated,Other-service,Wife,Other,Male,Asian-Pac-Islander,capital-loss_13,35,Mexico,1
29,Without-pay,1st-4th,12,Separated,Other-service,Wife,Other,Female,Asian-Pac-Islander,capital-loss_13,35,Mexico,0
19,Self-emp-not-inc,7th-8th,16,Separated,Adm-clerical,Wife,White,Male,Asian-Pac-Islander,capital-loss_10,19,Laos,1
19,Self-emp-not-inc,7th-8th,16,Separated,Adm-clerical,Wife,White,Female,Asian-Pac-Islander,capital-loss_10,19,Laos,0
76,State-gov,Some-college,15,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,Amer-Indian-Eskimo,capital-loss_15,57,Germany,1
76,State-gov,Some-college,15,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Female,Amer-Indian-Eskimo,capital-loss_15,57,Germany,0
30,State-gov,10th,16,Separated,Armed-Forces,Unmarried,Asian-Pac-Islander,Female,Asian-Pac-Islander,White,58,Outlying-US(Guam-USVI-etc),0
30,State-gov,10th,16,Separated,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,Asian-Pac-Islander,White,58,Outlying-US(Guam-USVI-etc),1
97,Self-emp-not-inc,Some-college,10,Separated,Transport-moving,Own-child,Other,Male,Amer-Indian-Eskimo,capital-loss_9,100,Vietnam,1
97,Self-emp-not-inc,Some-college,10,Separated,Transport-moving,Own-child,Other,Female,Amer-Indian-Eskimo,capital-loss_9,100,Vietnam,0
37,State-gov,Masters,6,Widowed,Other-service,Wife,Black,Male,Black,capital-loss_12,77,Thailand,1
37,State-gov,Masters,6,Widowed,Other-service,Wife,Black,Female,Black,capital-loss_12,77,Thailand,0
10,State-gov,Some-college,16,Never-married,Handlers-cleaners,Other-relative,White,Male,Amer-Indian-Eskimo,capital-loss_15,97,Taiwan,1
10,State-gov,Some-college,16,Never-married,Handlers-cleaners,Other-relative,White,Female,Amer-Indian-Eskimo,capital-loss_15,97,Taiwan,0
27,Without-pay,Bachelors,16,Widowed,Craft-repair,Own-child,White,Female,Black,capital-loss_5,65,Yugoslavia,0
27,Without-pay,Bachelors,16,Widowed,Craft-repair,Own-child,White,Male,Black,capital-loss_5,65,Yugoslavia,1
62,Self-emp-inc,Bachelors,8,Married-spouse-absent,Adm-clerical,Own-child,White,Female,Amer-Indian-Eskimo,capital-loss_6,36,Greece,0
62,Self-emp-inc,Bachelors,8,Married-spouse-absent,Adm-clerical,Own-child,White,Male,Amer-Indian-Eskimo,capital-loss_6,36,Greece,1
59,State-gov,5th-6th,15,Widowed,Craft-repair,Wife,Other,Male,Amer-Indian-Eskimo,capital-loss_17,99,Philippines,1
59,State-gov,5th-6th,15,Widowed,Craft-repair,Wife,Other,Female,Amer-Indian-Eskimo,capital-loss_17,99,Philippines,0
97,State-gov,9th,4,Never-married,Armed-Forces,Wife,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_8,46,Cambodia,1
97,State-gov,9th,4,Never-married,Armed-Forces,Wife,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_8,46,Cambodia,0
20,State-gov,Prof-school,10,Widowed,Craft-repair,Husband,Amer-Indian-Eskimo,Male,Other,Black,7,Yugoslavia,1
20,State-gov,Prof-school,10,Widowed,Craft-repair,Husband,Amer-Indian-Eskimo,Female,Other,Black,7,Yugoslavia,0
43,State-gov,Some-college,16,Widowed,Protective-serv,Wife,Amer-Indian-Eskimo,Male,Asian-Pac-Islander,capital-loss_9,75,Trinadad&Tobago,1
43,State-gov,Some-college,16,Widowed,Protective-serv,Wife,Amer-Indian-Eskimo,Female,Asian-Pac-Islander,capital-loss_9,75,Trinadad&Tobago,0
95,Without-pay,Some-college,16,Never-married,Handlers-cleaners,Wife,White,Female,Amer-Indian-Eskimo,Amer-Indian-Eskimo,48,India,0
95,Without-pay,Some-college,16,Never-married,Handlers-cleaners,Wife,White,Male,Amer-Indian-Eskimo,Amer-Indian-Eskimo,48,India,1
35,Local-gov,9th,3,Married-spouse-absent,Other-service,Other-relative,White,Male,Asian-Pac-Islander,Other,59,Canada,1
35,Local-gov,9th,3,Married-spouse-absent,Other-service,Other-relative,White,Female,Asian-Pac-Islander,Other,59,Canada,0
22,Private,Some-college,5,Divorced,Tech-support,Wife,Other,Male,Asian-Pac-Islander,capital-loss_5,25,Puerto-Rico,1
22,Private,Some-college,5,Divorced,Tech-support,Wife,Other,Female,Asian-Pac-Islander,capital-loss_5,25,Puerto-Rico,0
82,Without-pay,10th,9,Widowed,Farming-fishing,Unmarried,White,Male,Black,Amer-Indian-Eskimo,75,United-States,1
82,Without-pay,10th,9,Widowed,Farming-fishing,Unmarried,White,Female,Black,Amer-Indian-Eskimo,75,United-States,0
22,Without-pay,Doctorate,16,Married-spouse-absent,Craft-repair,Wife,Black,Male,Amer-Indian-Eskimo,capital-loss_6,56,Italy,1
22,Without-pay,Doctorate,16,Married-spouse-absent,Craft-repair,Wife,Black,Female,Amer-Indian-Eskimo,capital-loss_6,56,Italy,0
20,State-gov,Bachelors,1,Married-AF-spouse,Armed-Forces,Wife,Black,Male,Amer-Indian-Eskimo,capital-loss_7,100,Honduras,1
20,State-gov,Bachelors,1,Married-AF-spouse,Armed-Forces,Wife,Black,Female,Amer-Indian-Eskimo,capital-loss_7,100,Honduras,0
95,Self-emp-not-inc,Some-college,16,Widowed,Craft-repair,Wife,Asian-Pac-Islander,Female,Amer-Indian-Eskimo,capital-loss_11,3,Canada,0
95,Self-emp-not-inc,Some-college,16,Widowed,Craft-repair,Wife,Asian-Pac-Islander,Male,Amer-Indian-Eskimo,capital-loss_11,3,Canada,1
94,Federal-gov,Some-college,5,Divorced,Handlers-cleaners,Unmarried,White,Male,Asian-Pac-Islander,capital-loss_9,50,Yugoslavia,1
94,Federal-gov,Some-college,5,Divorced,Handlers-cleaners,Unmarried,White,Female,Asian-Pac-Islander,capital-loss_9,50,Yugoslavia,0
55,Federal-gov,Masters,10,Never-married,Prof-specialty,Wife,Other,Male,Amer-Indian-Eskimo,capital-loss_8,49,Cuba,1
55,Federal-gov,Masters,10,Never-married,Prof-specialty,Wife,Other,Female,Amer-Indian-Eskimo,capital-loss_8,49,Cuba,0
32,Without-pay,Assoc-acdm,16,Married-spouse-absent,Other-service,Wife,Asian-Pac-Islander,Male,Amer-Indian-Eskimo,capital-loss_5,9,Hungary,1
32,Without-pay,Assoc-acdm,16,Married-spouse-absent,Other-service,Wife,Asian-Pac-Islander,Female,Amer-Indian-Eskimo,capital-loss_5,9,Hungary,0
11,State-gov,Prof-school,10,Widowed,Farming-fishing,Wife,White,Female,Black,capital-loss_15,52,Haiti,0
11,State-gov,Prof-school,10,Widowed,Farming-fishing,Wife,White,Male,Black,capital-loss_15,52,Haiti,1
99,Federal-gov,Doctorate,4,Widowed,Craft-repair,Unmarried,Asian-Pac-Islander,Female,Asian-Pac-Islander,capital-loss_9,15,Puerto-Rico,0
99,Federal-gov,Doctorate,4,Widowed,Craft-repair,Unmarried,Asian-Pac-Islander,Male,Asian-Pac-Islander,capital-loss_9,15,Puerto-Rico,1
56,Local-gov,Some-college,16,Widowed,Craft-repair,Wife,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_15,36,Yugoslavia,0
56,Local-gov,Some-college,16,Widowed,Craft-repair,Wife,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_15,36,Yugoslavia,1
57,Without-pay,Prof-school,14,Separated,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_14,42,Cuba,0
57,Without-pay,Prof-school,14,Separated,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_14,42,Cuba,1
17,Without-pay,11th,11,Married-civ-spouse,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,Amer-Indian-Eskimo,capital-loss_7,3,Laos,1
17,Without-pay,11th,11,Married-civ-spouse,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,Amer-Indian-Eskimo,capital-loss_7,3,Laos,0
15,State-gov,7th-8th,11,Married-civ-spouse,Armed-Forces,Husband,Other,Male,Amer-Indian-Eskimo,White,79,Cambodia,1
15,State-gov,7th-8th,11,Married-civ-spouse,Armed-Forces,Husband,Other,Female,Amer-Indian-Eskimo,White,79,Cambodia,0
64,Self-emp-not-inc,Some-college,7,Never-married,Craft-repair,Wife,Other,Male,Amer-Indian-Eskimo,capital-loss_15,25,Cuba,1
64,Self-emp-not-inc,Some-college,7,Never-married,Craft-repair,Wife,Other,Female,Amer-Indian-Eskimo,capital-loss_15,25,Cuba,0
26,Without-pay,Assoc-acdm,11,Widowed,Other-service,Wife,White,Male,Other,Amer-Indian-Eskimo,48,Greece,1
26,Without-pay,Assoc-acdm,11,Widowed,Other-service,Wife,White,Female,Other,Amer-Indian-Eskimo,48,Greece,0
59,Without-pay,7th-8th,1,Divorced,Adm-clerical,Wife,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_19,81,Iran,1
59,Without-pay,7th-8th,1,Divorced,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_19,81,Iran,0
46,State-gov,Some-college,6,Separated,Protective-serv,Husband,Other,Male,Black,White,80,Honduras,1
46,State-gov,Some-college,6,Separated,Protective-serv,Husband,Other,Female,Black,White,80,Honduras,0
12,Without-pay,Some-college,2,Married-civ-spouse,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_19,6,Dominican-Republic,1
12,Without-pay,Some-college,2,Married-civ-spouse,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_19,6,Dominican-Republic,0
22,Without-pay,1st-4th,10,Separated,Handlers-cleaners,Wife,White,Female,Black,capital-loss_7,36,Scotland,0
22,Without-pay,1st-4th,10,Separated,Handlers-cleaners,Wife,White,Male,Black,capital-loss_7,36,Scotland,1
72,Without-pay,10th,1,Separated,Protective-serv,Not-in-family,White,Female,Asian-Pac-Islander,capital-loss_15,77,Honduras,0
72,Without-pay,10th,1,Separated,Protective-serv,Not-in-family,White,Male,Asian-Pac-Islander,capital-loss_15,77,Honduras,1
29,Local-gov,5th-6th,11,Never-married,Exec-managerial,Wife,Asian-Pac-Islander,Male,Amer-Indian-Eskimo,capital-loss_13,7,India,1
29,Local-gov,5th-6th,11,Never-married,Exec-managerial,Wife,Asian-Pac-Islander,Female,Amer-Indian-Eskimo,capital-loss_13,7,India,0
77,State-gov,Some-college,1,Widowed,Farming-fishing,Other-relative,Asian-Pac-Islander,Female,Black,capital-loss_10,59,Yugoslavia,0
77,State-gov,Some-college,1,Widowed,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,Black,capital-loss_10,59,Yugoslavia,1
50,Without-pay,7th-8th,16,Divorced,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_10,51,South,1
50,Without-pay,7th-8th,16,Divorced,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_10,51,South,0
59,State-gov,Prof-school,7,Divorced,Protective-serv,Wife,White,Male,Asian-Pac-Islander,capital-loss_13,47,Yugoslavia,1
59,State-gov,Prof-school,7,Divorced,Protective-serv,Wife,White,Female,Asian-Pac-Islander,capital-loss_13,47,Yugoslavia,0
98,Without-pay,5th-6th,10,Separated,Protective-serv,Unmarried,White,Female,Amer-Indian-Eskimo,capital-loss_13,24,Hong,0
98,Without-pay,5th-6th,10,Separated,Protective-serv,Unmarried,White,Male,Amer-Indian-Eskimo,capital-loss_13,24,Hong,1
39,State-gov,5th-6th,5,Divorced,Handlers-cleaners,Wife,White,Male,Amer-Indian-Eskimo,capital-loss_17,20,Ireland,1
39,State-gov,5th-6th,5,Divorced,Handlers-cleaners,Wife,White,Female,Amer-Indian-Eskimo,capital-loss_17,20,Ireland,0
75,Without-pay,12th,2,Never-married,Farming-fishing,Not-in-family,Other,Male,Amer-Indian-Eskimo,capital-loss_16,86,Ecuador,1
75,Without-pay,12th,2,Never-married,Farming-fishing,Not-in-family,Other,Female,Amer-Indian-Eskimo,capital-loss_16,86,Ecuador,0
31,Self-emp-not-inc,7th-8th,2,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,Asian-Pac-Islander,88,Dominican-Republic,0
31,Self-emp-not-inc,7th-8th,2,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,Asian-Pac-Islander,88,Dominican-Republic,1
100,Without-pay,Bachelors,16,Widowed,Farming-fishing,Unmarried,Asian-Pac-Islander,Female,Amer-Indian-Eskimo,capital-loss_10,53,South,0
100,Without-pay,Bachelors,16,Widowed,Farming-fishing,Unmarried,Asian-Pac-Islander,Male,Amer-Indian-Eskimo,capital-loss_10,53,South,1
24,Self-emp-inc,Doctorate,7,Married-spouse-absent,Adm-clerical,Wife,Other,Male,Amer-Indian-Eskimo,capital-loss_17,20,Vietnam,1
24,Self-emp-inc,Doctorate,7,Married-spouse-absent,Adm-clerical,Wife,Other,Female,Amer-Indian-Eskimo,capital-loss_17,20,Vietnam,0
78,Federal-gov,10th,13,Widowed,Armed-Forces,Wife,White,Female,Asian-Pac-Islander,Asian-Pac-Islander,76,United-States,0
78,Federal-gov,10th,13,Widowed,Armed-Forces,Wife,White,Male,Asian-Pac-Islander,Asian-Pac-Islander,76,United-States,1
10,Federal-gov,Some-college,7,Married-spouse-absent,Transport-moving,Husband,White,Male,capital-gain_16,capital-loss_19,100,Germany,1
10,Federal-gov,Some-college,7,Married-spouse-absent,Transport-moving,Husband,White,Female,capital-gain_16,capital-loss_19,100,Germany,0
87,Without-pay,1st-4th,1,Separated,Machine-op-inspct,Husband,Black,Female,Asian-Pac-Islander,capital-loss_13,36,Philippines,0
87,Without-pay,1st-4th,1,Separated,Machine-op-inspct,Husband,Black,Male,Asian-Pac-Islander,capital-loss_13,36,Philippines,1
14,Federal-gov,1st-4th,4,Married-AF-spouse,Protective-serv,Unmarried,Black,Male,Asian-Pac-Islander,capital-loss_9,12,Thailand,1
14,Federal-gov,1st-4th,4,Married-AF-spouse,Protective-serv,Unmarried,Black,Female,Asian-Pac-Islander,capital-loss_9,12,Thailand,0
44,State-gov,Bachelors,4,Divorced,Adm-clerical,Not-in-family,White,Male,Amer-Indian-Eskimo,Asian-Pac-Islander,31,Germany,1
44,State-gov,Bachelors,4,Divorced,Adm-clerical,Not-in-family,White,Female,Amer-Indian-Eskimo,Asian-Pac-Islander,31,Germany,0
80,State-gov,Some-college,3,Never-married,Tech-support,Not-in-family,White,Male,Amer-Indian-Eskimo,capital-loss_16,74,Ecuador,1
80,State-gov,Some-college,3,Never-married,Tech-support,Not-in-family,White,Female,Amer-Indian-Eskimo,capital-loss_16,74,Ecuador,0
