CE_ID,PA,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,race,capital-gain,capital-loss,hours-per-week,Output,Decision
26,0,86,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Female,(null),3,97,7,-0.100947,NEGATIVE
26,1,86,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Male,(null),3,97,7,0.277751,POSITIVE
27,0,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,98,8,-0.276647,NEGATIVE
27,1,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,98,8,0.101677,POSITIVE
28,0,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,86,8,-0.068498,NEGATIVE
28,1,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,86,8,0.274312,POSITIVE
29,0,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Female,(null),3,72,7,1.876763,POSITIVE
29,1,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Male,(null),3,72,7,-0.020944,NEGATIVE
30,0,98,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Female,(null),3,73,8,1.225298,POSITIVE
30,1,98,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Male,(null),3,73,8,-0.189437,NEGATIVE
31,0,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,(null),3,73,8,-0.098195,NEGATIVE
31,1,98,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,(null),3,73,8,0.274514,POSITIVE
32,0,99,State-gov,11,1st-4th,5,11th,Prof-specialty,Not-in-family,Female,Black,13,97,28,-0.026529,NEGATIVE
32,1,99,State-gov,11,1st-4th,5,11th,Prof-specialty,Not-in-family,Male,Black,13,97,28,0.176522,POSITIVE
33,0,99,State-gov,13,10th,5,Prof-school,Prof-specialty,Other-relative,Female,Black,13,98,29,-0.034548,NEGATIVE
33,1,99,State-gov,13,10th,5,Prof-school,Prof-specialty,Other-relative,Male,Black,13,98,29,0.021895,POSITIVE
34,0,90,Private,0,Some-college,4,Married-civ-spouse,Prof-specialty,Wife,Female,Black,10,89,21,-0.288467,NEGATIVE
34,1,90,Private,0,Some-college,4,Married-civ-spouse,Prof-specialty,Wife,Male,Black,10,89,21,0.087945,POSITIVE
35,0,90,Self-emp-not-inc,1,11th,4,Divorced,Prof-specialty,Wife,Female,Black,10,90,22,-0.285505,NEGATIVE
35,1,90,Self-emp-not-inc,1,11th,4,Divorced,Prof-specialty,Wife,Male,Black,10,90,22,0.081363,POSITIVE
36,0,91,Self-emp-not-inc,2,11th,4,Separated,Prof-specialty,Own-child,Female,Black,11,91,24,-0.264435,NEGATIVE
36,1,91,Self-emp-not-inc,2,11th,4,Separated,Prof-specialty,Own-child,Male,Black,11,91,24,0.074776,POSITIVE
37,0,92,Self-emp-inc,4,HS-grad,4,Widowed,Prof-specialty,Own-child,Female,Black,12,92,26,-0.243363,NEGATIVE
37,1,92,Self-emp-inc,4,HS-grad,4,Widowed,Prof-specialty,Own-child,Male,Black,12,92,26,0.068192,POSITIVE
38,0,93,Self-emp-inc,5,Prof-school,4,Married-spouse-absent,Prof-specialty,Husband,Female,Black,13,93,28,-0.121460,NEGATIVE
38,1,93,Self-emp-inc,5,Prof-school,4,Married-spouse-absent,Prof-specialty,Husband,Male,Black,13,93,28,0.061607,POSITIVE
39,0,97,Self-emp-inc,4,11th,4,Widowed,Prof-specialty,Own-child,Female,Black,11,79,33,2.951843,POSITIVE
39,1,97,Self-emp-inc,4,11th,4,Widowed,Prof-specialty,Own-child,Male,Black,11,79,33,-0.055109,NEGATIVE
40,0,97,Self-emp-inc,5,11th,4,Married-spouse-absent,Prof-specialty,Husband,Female,Black,11,80,34,2.946813,POSITIVE
40,1,97,Self-emp-inc,5,11th,4,Married-spouse-absent,Prof-specialty,Husband,Male,Black,11,80,34,-0.196876,NEGATIVE
41,0,98,Federal-gov,7,HS-grad,5,(null),Prof-specialty,Husband,Female,Black,12,82,35,2.941784,POSITIVE
41,1,98,Federal-gov,7,HS-grad,5,(null),Prof-specialty,Husband,Male,Black,12,82,35,-0.318959,NEGATIVE
42,0,98,Local-gov,8,HS-grad,5,Bachelors,Prof-specialty,Husband,Female,Black,12,83,36,2.937683,POSITIVE
42,1,98,Local-gov,8,HS-grad,5,Bachelors,Prof-specialty,Husband,Male,Black,12,83,36,-0.329267,NEGATIVE
43,0,98,Local-gov,10,HS-grad,5,Some-college,Prof-specialty,Not-in-family,Female,Black,12,84,37,2.939324,POSITIVE
43,1,98,Local-gov,10,HS-grad,5,Some-college,Prof-specialty,Not-in-family,Male,Black,12,84,37,-0.288817,NEGATIVE
44,0,99,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Female,Black,13,85,38,2.940965,POSITIVE
44,1,99,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Male,Black,13,85,38,-0.243808,NEGATIVE
45,0,99,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Female,Black,13,86,39,2.942606,POSITIVE
45,1,99,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Male,Black,13,86,39,-0.198798,NEGATIVE
46,0,96,Local-gov,10,HS-grad,5,Some-college,Prof-specialty,Not-in-family,Female,Black,17,84,27,2.987529,POSITIVE
46,1,96,Local-gov,10,HS-grad,5,Some-college,Prof-specialty,Not-in-family,Male,Black,17,84,27,-0.114316,NEGATIVE
47,0,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Female,Black,18,85,28,2.955941,POSITIVE
47,1,97,State-gov,11,HS-grad,5,11th,Prof-specialty,Not-in-family,Male,Black,18,85,28,-0.286820,NEGATIVE
48,0,98,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Female,Black,18,86,29,2.931622,POSITIVE
48,1,98,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Male,Black,18,86,29,-0.362072,NEGATIVE
49,0,93,Self-emp-inc,5,Prof-school,4,Married-spouse-absent,Prof-specialty,Husband,Female,Black,11,80,24,1.989322,POSITIVE
49,1,93,Self-emp-inc,5,Prof-school,4,Married-spouse-absent,Prof-specialty,Husband,Male,Black,11,80,24,-0.093092,NEGATIVE
50,0,95,Federal-gov,7,Assoc-acdm,5,(null),Prof-specialty,Husband,Female,Black,12,82,25,2.053665,POSITIVE
50,1,95,Federal-gov,7,Assoc-acdm,5,(null),Prof-specialty,Husband,Male,Black,12,82,25,-0.187157,NEGATIVE
51,0,95,Local-gov,8,Assoc-acdm,5,Bachelors,Prof-specialty,Husband,Female,Black,12,83,26,2.143762,POSITIVE
51,1,95,Local-gov,8,Assoc-acdm,5,Bachelors,Prof-specialty,Husband,Male,Black,12,83,26,-0.262012,NEGATIVE
52,0,96,Local-gov,10,Assoc-voc,5,Some-college,Prof-specialty,Not-in-family,Female,Black,12,84,27,2.276356,POSITIVE
52,1,96,Local-gov,10,Assoc-voc,5,Some-college,Prof-specialty,Not-in-family,Male,Black,12,84,27,-0.336047,NEGATIVE
53,0,97,State-gov,11,9th,5,11th,Prof-specialty,Not-in-family,Female,Black,13,85,28,2.406389,POSITIVE
53,1,97,State-gov,11,9th,5,11th,Prof-specialty,Not-in-family,Male,Black,13,85,28,-0.410082,NEGATIVE
54,0,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Female,Black,13,86,29,2.513402,POSITIVE
54,1,98,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Male,Black,13,86,29,-0.484118,NEGATIVE
55,0,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Female,Black,17,96,37,-0.028122,NEGATIVE
55,1,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Male,Black,17,96,37,0.300015,POSITIVE
56,0,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Female,Black,18,97,38,-0.200128,NEGATIVE
56,1,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Male,Black,18,97,38,0.122024,POSITIVE
57,0,95,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Female,Black,12,94,35,-0.030770,NEGATIVE
57,1,95,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Male,Black,12,94,35,0.343306,POSITIVE
58,0,95,Local-gov,8,Assoc-acdm,1,Bachelors,Prof-specialty,Husband,Female,Black,12,95,36,-0.144246,NEGATIVE
58,1,95,Local-gov,8,Assoc-acdm,1,Bachelors,Prof-specialty,Husband,Male,Black,12,95,36,0.235938,POSITIVE
59,0,96,Local-gov,10,Assoc-voc,2,Some-college,Prof-specialty,Not-in-family,Female,Black,12,96,37,-0.239968,NEGATIVE
59,1,96,Local-gov,10,Assoc-voc,2,Some-college,Prof-specialty,Not-in-family,Male,Black,12,96,37,0.128572,POSITIVE
60,0,97,State-gov,11,9th,2,11th,Prof-specialty,Not-in-family,Female,Black,13,97,38,-0.320400,NEGATIVE
60,1,97,State-gov,11,9th,2,11th,Prof-specialty,Not-in-family,Male,Black,13,97,38,0.019370,POSITIVE
61,0,97,State-gov,11,9th,2,11th,Prof-specialty,Not-in-family,Female,Black,17,97,28,-0.010823,NEGATIVE
61,1,97,State-gov,11,9th,2,11th,Prof-specialty,Not-in-family,Male,Black,17,97,28,0.361939,POSITIVE
62,0,98,State-gov,13,9th,2,Prof-school,Prof-specialty,Other-relative,Female,Black,18,98,29,-0.054482,NEGATIVE
62,1,98,State-gov,13,9th,2,Prof-school,Prof-specialty,Other-relative,Male,Black,18,98,29,0.321156,POSITIVE
63,0,95,Local-gov,8,HS-grad,1,Bachelors,Prof-specialty,Husband,Female,Black,12,83,36,0.022754,POSITIVE
63,1,95,Local-gov,8,HS-grad,1,Bachelors,Prof-specialty,Husband,Male,Black,12,83,36,-0.015000,NEGATIVE
64,0,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Female,Black,17,84,27,-0.040299,NEGATIVE
64,1,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Male,Black,17,84,27,0.283578,POSITIVE
65,0,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Female,Black,18,85,28,-0.210792,NEGATIVE
65,1,97,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Male,Black,18,85,28,0.104160,POSITIVE
66,0,95,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Female,Black,12,82,25,-0.045312,NEGATIVE
66,1,95,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Male,Black,12,82,25,0.329722,POSITIVE
67,0,95,Local-gov,8,Assoc-acdm,1,Bachelors,Prof-specialty,Husband,Female,Black,12,83,26,-0.153936,NEGATIVE
67,1,95,Local-gov,8,Assoc-acdm,1,Bachelors,Prof-specialty,Husband,Male,Black,12,83,26,0.220928,POSITIVE
68,0,96,Local-gov,10,Assoc-voc,2,Some-college,Prof-specialty,Not-in-family,Female,Black,12,84,27,-0.248391,NEGATIVE
68,1,96,Local-gov,10,Assoc-voc,2,Some-college,Prof-specialty,Not-in-family,Male,Black,12,84,27,0.112134,POSITIVE
69,0,97,State-gov,11,9th,2,11th,Prof-specialty,Not-in-family,Female,Black,13,85,28,-0.331064,NEGATIVE
69,1,97,State-gov,11,9th,2,11th,Prof-specialty,Not-in-family,Male,Black,13,85,28,0.000247,POSITIVE
70,0,82,Self-emp-inc,5,Prof-school,4,Married-spouse-absent,Prof-specialty,Husband,Female,Black,11,93,24,2.948179,POSITIVE
70,1,82,Self-emp-inc,5,Prof-school,4,Married-spouse-absent,Prof-specialty,Husband,Male,Black,11,93,24,-0.055936,NEGATIVE
71,0,84,Federal-gov,7,Assoc-acdm,5,(null),Prof-specialty,Husband,Female,Black,12,94,25,2.948579,POSITIVE
71,1,84,Federal-gov,7,Assoc-acdm,5,(null),Prof-specialty,Husband,Male,Black,12,94,25,-0.147515,NEGATIVE
72,0,84,Local-gov,8,Assoc-acdm,5,Bachelors,Prof-specialty,Husband,Female,Black,12,95,26,2.948979,POSITIVE
72,1,84,Local-gov,8,Assoc-acdm,5,Bachelors,Prof-specialty,Husband,Male,Black,12,95,26,-0.219374,NEGATIVE
73,0,85,Local-gov,10,Assoc-voc,5,Some-college,Prof-specialty,Not-in-family,Female,Black,12,96,27,2.949379,POSITIVE
73,1,85,Local-gov,10,Assoc-voc,5,Some-college,Prof-specialty,Not-in-family,Male,Black,12,96,27,-0.291168,NEGATIVE
74,0,86,State-gov,11,9th,5,11th,Prof-specialty,Not-in-family,Female,Black,13,97,28,2.949779,POSITIVE
74,1,86,State-gov,11,9th,5,11th,Prof-specialty,Not-in-family,Male,Black,13,97,28,-0.299245,NEGATIVE
75,0,87,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Female,Black,13,98,29,2.950179,POSITIVE
75,1,87,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Male,Black,13,98,29,-0.286918,NEGATIVE
76,0,85,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Female,Black,12,96,37,1.834166,POSITIVE
76,1,85,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Male,Black,12,96,37,-0.176835,NEGATIVE
77,0,86,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Female,Black,13,97,38,1.775504,POSITIVE
77,1,86,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Male,Black,13,97,38,-0.326699,NEGATIVE
78,0,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,Black,13,98,39,1.740885,POSITIVE
78,1,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,Black,13,98,39,-0.472665,NEGATIVE
79,0,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,Black,18,98,29,0.213180,POSITIVE
79,1,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,Black,18,98,29,-0.071893,NEGATIVE
80,0,84,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Female,Black,12,94,25,-0.008214,NEGATIVE
80,1,84,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Male,Black,12,94,25,0.335227,POSITIVE
81,0,84,Local-gov,8,Assoc-acdm,1,Bachelors,Prof-specialty,Husband,Female,Black,12,95,26,-0.111809,NEGATIVE
81,1,84,Local-gov,8,Assoc-acdm,1,Bachelors,Prof-specialty,Husband,Male,Black,12,95,26,0.227860,POSITIVE
82,0,85,Local-gov,10,Assoc-voc,2,Some-college,Prof-specialty,Not-in-family,Female,Black,12,96,27,-0.203511,NEGATIVE
82,1,85,Local-gov,10,Assoc-voc,2,Some-college,Prof-specialty,Not-in-family,Male,Black,12,96,27,0.120493,POSITIVE
83,0,86,State-gov,11,9th,2,11th,Prof-specialty,Not-in-family,Female,Black,13,97,28,-0.283942,NEGATIVE
83,1,86,State-gov,11,9th,2,11th,Prof-specialty,Not-in-family,Male,Black,13,97,28,0.010723,POSITIVE
84,0,84,Local-gov,8,HS-grad,1,Bachelors,Prof-specialty,Husband,Female,Black,12,83,26,2.399579,POSITIVE
84,1,84,Local-gov,8,HS-grad,1,Bachelors,Prof-specialty,Husband,Male,Black,12,83,26,-0.002839,NEGATIVE
85,0,85,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Female,Black,12,84,27,2.122581,POSITIVE
85,1,85,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Male,Black,12,84,27,-0.189013,NEGATIVE
86,0,86,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Female,Black,13,85,28,1.967640,POSITIVE
86,1,86,State-gov,11,HS-grad,2,11th,Prof-specialty,Not-in-family,Male,Black,13,85,28,-0.337363,NEGATIVE
87,0,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,Black,13,86,29,1.859526,POSITIVE
87,1,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,Black,13,86,29,-0.485570,NEGATIVE
88,0,91,Self-emp-not-inc,2,5th-6th,4,Separated,Prof-specialty,Own-child,Female,Other,15,91,32,-0.137455,NEGATIVE
88,1,91,Self-emp-not-inc,2,5th-6th,4,Separated,Prof-specialty,Own-child,Male,Other,15,91,32,0.189531,POSITIVE
89,0,92,Self-emp-inc,4,5th-6th,4,Widowed,Prof-specialty,Own-child,Female,Other,16,92,33,-0.277141,NEGATIVE
89,1,92,Self-emp-inc,4,5th-6th,4,Widowed,Prof-specialty,Own-child,Male,Other,16,92,33,0.025087,POSITIVE
90,0,90,Private,0,Doctorate,4,Married-civ-spouse,Prof-specialty,Wife,Female,Other,15,89,21,-0.051891,NEGATIVE
90,1,90,Private,0,Doctorate,4,Married-civ-spouse,Prof-specialty,Wife,Male,Other,15,89,21,0.323576,POSITIVE
91,0,90,Self-emp-not-inc,1,Doctorate,4,Divorced,Prof-specialty,Wife,Female,Other,15,90,21,-0.225936,NEGATIVE
91,1,90,Self-emp-not-inc,1,Doctorate,4,Divorced,Prof-specialty,Wife,Male,Other,15,90,21,0.160591,POSITIVE
92,0,97,State-gov,11,Preschool,5,11th,Prof-specialty,Not-in-family,Female,Other,17,85,36,0.712877,POSITIVE
92,1,97,State-gov,11,Preschool,5,11th,Prof-specialty,Not-in-family,Male,Other,17,85,36,-0.809730,NEGATIVE
93,0,98,State-gov,13,Preschool,5,Prof-school,Prof-specialty,Other-relative,Female,Other,18,86,38,2.004290,POSITIVE
93,1,98,State-gov,13,Preschool,5,Prof-school,Prof-specialty,Other-relative,Male,Other,18,86,38,-0.730411,NEGATIVE
94,0,90,Self-emp-not-inc,1,Masters,0,Divorced,Prof-specialty,Wife,Female,Other,15,90,31,-0.074835,NEGATIVE
94,1,90,Self-emp-not-inc,1,Masters,0,Divorced,Prof-specialty,Wife,Male,Other,15,90,31,0.302143,POSITIVE
95,0,91,Self-emp-not-inc,2,Masters,0,Separated,Prof-specialty,Own-child,Female,Other,15,91,32,-0.189771,NEGATIVE
95,1,91,Self-emp-not-inc,2,Masters,0,Separated,Prof-specialty,Own-child,Male,Other,15,91,32,0.194777,POSITIVE
96,0,92,Self-emp-inc,4,1st-4th,0,Widowed,Prof-specialty,Own-child,Female,Other,16,92,33,-0.288926,NEGATIVE
96,1,92,Self-emp-inc,4,1st-4th,0,Widowed,Prof-specialty,Own-child,Male,Other,16,92,33,0.087411,POSITIVE
97,0,90,Self-emp-not-inc,1,Doctorate,0,Divorced,Prof-specialty,Wife,Female,Other,10,90,31,-0.107156,NEGATIVE
97,1,90,Self-emp-not-inc,1,Doctorate,0,Divorced,Prof-specialty,Wife,Male,Other,10,90,31,0.271951,POSITIVE
98,0,91,Self-emp-not-inc,2,5th-6th,0,Separated,Prof-specialty,Own-child,Female,Other,10,91,32,-0.283290,NEGATIVE
98,1,91,Self-emp-not-inc,2,5th-6th,0,Separated,Prof-specialty,Own-child,Male,Other,10,91,32,0.093959,POSITIVE
99,0,90,Private,0,12th,0,Married-civ-spouse,Prof-specialty,Wife,Female,Other,15,89,21,-0.165356,NEGATIVE
99,1,90,Private,0,12th,0,Married-civ-spouse,Prof-specialty,Wife,Male,Other,15,89,21,0.217584,POSITIVE
100,0,90,Self-emp-not-inc,1,Masters,0,Divorced,Prof-specialty,Wife,Female,Other,15,90,21,-0.269295,NEGATIVE
100,1,90,Self-emp-not-inc,1,Masters,0,Divorced,Prof-specialty,Wife,Male,Other,15,90,21,0.110218,POSITIVE
101,0,90,Private,0,Doctorate,0,Married-civ-spouse,Prof-specialty,Wife,Female,Other,10,89,21,-0.122072,NEGATIVE
101,1,90,Private,0,Doctorate,0,Married-civ-spouse,Prof-specialty,Wife,Male,Other,10,89,21,0.258017,POSITIVE
102,0,90,Self-emp-not-inc,1,Doctorate,0,Divorced,Prof-specialty,Wife,Female,Other,10,90,21,-0.295284,NEGATIVE
102,1,90,Self-emp-not-inc,1,Doctorate,0,Divorced,Prof-specialty,Wife,Male,Other,10,90,21,0.080026,POSITIVE
103,0,92,Self-emp-inc,4,1st-4th,0,Widowed,Prof-specialty,Own-child,Female,Other,16,79,33,-0.109461,NEGATIVE
103,1,92,Self-emp-inc,4,1st-4th,0,Widowed,Prof-specialty,Own-child,Male,Other,16,79,33,0.268606,POSITIVE
104,0,93,Self-emp-inc,5,10th,1,Married-spouse-absent,Prof-specialty,Husband,Female,Other,16,80,34,-0.214287,NEGATIVE
104,1,93,Self-emp-inc,5,10th,1,Married-spouse-absent,Prof-specialty,Husband,Male,Other,16,80,34,0.159813,POSITIVE
105,0,95,Federal-gov,7,Doctorate,1,(null),Prof-specialty,Husband,Female,Other,17,82,35,-0.296960,NEGATIVE
105,1,95,Federal-gov,7,Doctorate,1,(null),Prof-specialty,Husband,Male,Other,17,82,35,0.051020,POSITIVE
