age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,occupation,output,race,relationship,sex,workclass
84,15,90,0,Doctorate,5,32,Bachelors,Prof-specialty,-0.587088,Other,Husband,Male,Local-gov
85,16,92,1,5th-6th,5,34,Some-college,Prof-specialty,2.931622,Other,Not-in-family,Female,Local-gov
85,16,92,0,5th-6th,5,34,Some-college,Prof-specialty,-0.470617,Other,Not-in-family,Male,Local-gov
86,17,95,1,Preschool,5,36,11th,Prof-specialty,2.931622,Other,Not-in-family,Female,State-gov
86,17,95,0,Preschool,5,36,11th,Prof-specialty,-0.348274,Other,Not-in-family,Male,State-gov
87,18,97,1,Preschool,5,38,Prof-school,Prof-specialty,2.943207,Other,Other-relative,Female,State-gov
87,18,97,0,Preschool,5,38,Prof-school,Prof-specialty,-0.22593,Other,Other-relative,Male,State-gov
81,16,92,0,1st-4th,0,33,Widowed,Prof-specialty,-0.074792,Other,Own-child,Female,Self-emp-inc
81,16,92,1,1st-4th,0,33,Widowed,Prof-specialty,0.271257,Other,Own-child,Male,Self-emp-inc
82,16,93,0,10th,1,34,Married-spouse-absent,Prof-specialty,-0.176131,Other,Husband,Female,Self-emp-inc
82,16,93,1,10th,1,34,Married-spouse-absent,Prof-specialty,0.163891,Other,Husband,Male,Self-emp-inc
84,17,94,0,Doctorate,1,35,(null),Prof-specialty,-0.256564,Other,Husband,Female,Federal-gov
84,17,94,1,Doctorate,1,35,(null),Prof-specialty,0.056525,Other,Husband,Male,Federal-gov
80,10,91,0,5th-6th,0,32,Separated,Prof-specialty,-0.100888,Other,Own-child,Female,Self-emp-not-inc
80,10,91,1,5th-6th,0,32,Separated,Prof-specialty,0.277806,Other,Own-child,Male,Self-emp-not-inc
81,11,92,0,5th-6th,0,33,Widowed,Prof-specialty,-0.278251,Other,Own-child,Female,Self-emp-inc
81,11,92,1,5th-6th,0,33,Widowed,Prof-specialty,0.099813,Other,Own-child,Male,Self-emp-inc
79,15,90,0,Masters,0,21,Divorced,Prof-specialty,-0.083482,Other,Wife,Female,Self-emp-not-inc
79,15,90,1,Masters,0,21,Divorced,Prof-specialty,0.294065,Other,Wife,Male,Self-emp-not-inc
80,15,91,0,Masters,0,22,Separated,Prof-specialty,-0.19842,Other,Own-child,Female,Self-emp-not-inc
80,15,91,1,Masters,0,22,Separated,Prof-specialty,0.186698,Other,Own-child,Male,Self-emp-not-inc
